event,date,country,city,artist,album,track,isrc,linkid
click,2021-08-23,United States,Los Angeles,LAKEY INSPIRED,Better Days,Better Days,QM42K1738106,f3820ceb-486c-407c-a8c4-80ac49c2391d
click,2021-08-23,United States,Seattle,"Kayla Nicole, Taylor Girlz, Flo Milli","Bundles 2 (feat. Flo Milli, Taylor Girlz)","Bundles 2 (feat. Flo Milli, Taylor Girlz)",QMCE32100359,fbf4b935-f961-4b13-b1d8-45ad47093559
click,2021-08-23,India,Pune,Justin Bieber,Mari Berdansa,Yummy,USUM71923046,638b0c7a-8f87-47c0-b444-8ac66d3d7054
click,2021-08-23,India,Delhi,KAROL G,200 COPAS (Short Version),200 COPAS - Short Version,USUM72105921,c063f2de-4355-4879-929f-52083e01b4ca
click,2021-08-23,India,Pune,"Justin Bieber, Ludacris",My World 2.0,Baby,USUM70919263,38390938-0454-41fa-8dce-5e3af9710ecf
click,2021-08-23,Saudi Arabia,Riyadh,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
click,2021-08-23,Bahrain,Manama,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
click,2021-08-23,Saudi Arabia,Al Qatif,"Kayla Nicole, Taylor Girlz, Flo Milli","Bundles 2 (feat. Flo Milli, Taylor Girlz)","Bundles 2 (feat. Flo Milli, Taylor Girlz)",QMCE32100359,fbf4b935-f961-4b13-b1d8-45ad47093559
click,2021-08-23,Saudi Arabia,Jeddah,"Maroon 5, Megan Thee Stallion",JORDI (Deluxe),Beautiful Mistakes (feat. Megan Thee Stallion),USUM72103449,7aaf5a76-d98d-4319-a14e-bbc618248b6c
click,2021-08-23,India,New Delhi,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8
click,2021-08-23,Pakistan,Faisalabad,Sidhu Moose Wala,Akhian,Akhian,QZQLR2005915,c95f1fc1-fab0-4c74-b3f5-52bd3684a713
click,2021-08-23,Tunisia,Unknown,LAKEY INSPIRED,Better Days,Better Days,QM42K1738106,f3820ceb-486c-407c-a8c4-80ac49c2391d
click,2021-08-23,Pakistan,Unknown,"DMNDS, Strange Fruits Music, Fallen Roses, Lujavo, Nito-Onna",Calabria (feat. Lujavo & Nito-Onna),Calabria (feat. Lujavo & Nito-Onna),GBSMU9833211,681d888a-59ce-4acb-b7c5-95dab0c063d9
click,2021-08-23,United Kingdom,Cranbrook,PinkPantheress,Passion,Passion,GBAYE2100808,3a3b7164-6c26-45a7-a64b-0b1ade487d50
click,2021-08-23,DR Congo,Kinshasa,"Dixie, Rubi Rose",Psycho (feat. Rubi Rose),Psycho (feat. Rubi Rose),ZZOPM2107292,3638820f-a54d-49ac-8225-96fba9ca30a9
click,2021-08-23,Qatar,Doha,Myke Towers,ALMAS GEMELAS,ALMAS GEMELAS,USWL12100336,9ab2b175-85b8-432d-8e82-f3159be870ee
click,2021-08-23,Germany,Finsterwalde,Duncan Laurence,Small Town Boy,Arcade (feat. FLETCHER),NL1TK2000069,cce607e4-1ecb-4ac7-9f83-eb0ce1e1e6d9
click,2021-08-23,France,Paris,Capella Grey,GYALIS,GYALIS,QZFYW2156440,62d8b57e-0d63-48a0-b856-546e50130534
click,2021-08-23,Saudi Arabia,Riyadh,"50 Cent, Olivia",The Massacre,Candy Shop,USIR10500072,97105aff-3e40-4c2e-bfeb-563b55e8f5dd
click,2021-08-23,Saudi Arabia,Riyadh,Bella Poarch,Build a Bitch,Build a Bitch,USWB12101016,a107c329-5d35-4c7d-8050-50bc69ce7dbc
click,2021-08-23,India,Nagpur,Olivia Rodrigo,SOUR,good 4 u,USUG12101245,a4a6c5d9-eb71-4987-9e37-762aa9fc740b
